Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
000493,Lebanon Junior High,044214,Lebanon,Warren,160 Miller Rd,"Lebanon, Ohio  45036-1234",(513) 934-5300,Thomas R. Olson,7-8,Open,Effective,4,5,832,95.1,97.8
000496,Peterson Entrepreneurial Training Enterprise,000496,Peterson Entrepreneurial Training Enterprise,,1 Elizabeth Pl,"Dayton, Ohio  45408-1445",(937) 853-0560,,9-12,Open,Continuous Improvement,1,4,127,97.8,52.2
000497,Alpine Elementary School,043802,Columbus Public Schools,Franklin,1590 Alpine Dr,"Columbus, Ohio  43229-2120",(614) 365-5359,Jennifer L. Reinheimer,"K-5,P",Open,Effective,4,8,510,95.7,90.9
000501,Ripley Union Lewis Huntington Middle School,046078,Ripley-Union-Lewis-Huntington,Brown,2300 Rains-Eitel Rd.,"Aberdeen, Ohio  45101-9502",(937) 795-8001,Michael J. Kennedy,5-8,Open,Continuous Improvement,3,9,409,95.1,80.9
000502,The Canton Academy,000502,The Canton Academy,,1609 14th St SW,"Canton, Ohio  44706-1703",(330) 454-2208,Linda F. Betz,9-12,Open,Continuous Improvement,0,11,44,85.0,46.9
000504,The Harte School - Columbus,000504,The Harte School - Columbus,,350 Columbus City Center Dr,"Columbus, Ohio  43215-5181",(614) 586-1800,,6-9,Open,Academic Emergency,0,7,124,90.4,63.7
000505,Alton Hall Elementary School,044800,South-Western,Franklin,1000 Alton Rd,"Galloway, Ohio  43119-8867",(614) 801-8000,Anthony K. Huffman,K-4,Open,Effective,3,6,480,95.6,92.5
000506,Crossroads Preparatory Academy - Columbus,000506,Crossroads Preparatory Academy - Columbus,,350 Columbus City Center Dr,"Columbus, Ohio  43215-5181",(614) 586-1800,,6-10,Open,Academic Emergency,1,7,85,95.7,56.1
000509,Whitehall Prepartory and Fitness Academy,000509,Whitehall Prepartory and Fitness Academy,,3474 E Livingston Ave,"Columbus, Ohio  43227-2279",(614) 314-6301,Chad Monahan,K-8,Open,Continuous Improvement,1,8,118,95.3,82
000510,Springfield Preparatory and Fitness Academy,000510,Springfield Preparatory and Fitness Academy,,1615 Selma Rd,"Springfield, Ohio  45505-4245",(937) 323-6250,,"K,1-8,SN",Open,Academic Watch,3,10,121,94.4,79.5
000511,Northland Preparatory and Fitness Academy,000511,Northland Preparatory and Fitness Academy,,2556 Sherwood Rd,"Columbus, Ohio  43209-2154",(937) 854-4100,,"K,1-8,SN",Open,Academic Watch,2,8,82,94.1,77.6
000513,Alum Crest High School,043802,Columbus Public Schools,Franklin,2200 Winslow Dr,"Columbus, Ohio  43207-2270",(614) 365-5030,Christopher Shaffer,K-12,Open,Effective,4,12,121,92.4,96.3
000519,Whiteoak Junior High School,047613,Bright,Highland,44 N High St,"Mowrystown, Ohio  45155",(937) 444-2241,John R. Roush,7-8,Open,Effective,3,5,131,94.7,90.3
000520,Youngstown Early College,045161,Youngstown,Mahoning,Fedor Hall,"Youngstown, Ohio  44555-0001",(330) 744-8580,Larry C. Johnson,9-12,Open,Excellent,5,6,110,96.0,100.3
000523,Education Alternatives Community School,000523,Education Alternatives Community School,,21100 Southgate Park Blvd,"Maple Heights, Ohio  44137-3004",(216) 332-9360,,K-12,Open,Academic Emergency,1,8,168,93.5,53.9
000525,Project Rebuild Community School,000525,Project Rebuild Community School,,1500 Superior Ave NE,"Canton, Ohio  44705-1956",(330) 452-8414,,9-12,Open,Continuous Improvement,0,10,50,75.4,54.8
000527,Cleveland Academy for Scholarship Technology and Leadership,000527,Cleveland Academy for Scholarship Technology and Leadership,,1729 Superior Ave E,"Cleveland, Ohio  44114-2934",(216) 443-5400,,K-12,Open,Continuous Improvement,2,6,104,100.0,64.8
000539,Amanda-Clearcreek Elementary School,046847,Amanda-Clearcreek,Fairfield,328 E Main St,"Amanda, Ohio  43102-9330",(740) 969-7253,Angela R. Harrison,3-5,Open,Effective,7,8,378,95.7,94.8
000543,Pinnacle Academy,000543,Pinnacle Academy,,840 E 222nd St,"Euclid, Ohio  44123-3317",(216) 731-0127,Virginia A. Barkhurst,K-6,Open,Academic Watch,2,10,465,95.1,74
000546,Winterfield Venture Academy,000546,Winterfield Venture Academy,,286 Wenz Rd,"Toledo, Ohio  43615-6243",(419) 531-3285,Amy I. Socha,K-6,Open,Continuous Improvement,1,10,414,93.7,80
000547,Amanda Elementary School,044404,Middletown,Butler,1215 Oxford State Rd,"Middletown, Ohio  45044-7553",(513) 420-4542,James M. Thomas,K-6,Open,Academic Watch,2,6,229,94.2,77.6
000548,Wright-Dunbar Technology Academy,000548,Wright-Dunbar Technology Academy,,120 Knox Ave,"Dayton, Ohio  45427-1723",(937) 835-0020,Denise L. Lyons,9-12,Open,Continuous Improvement,0,6,53,86.5,57
000553,"Columbus Humanities, Arts and Technology Academy",000553,"Columbus Humanities, Arts and Technology Academy",,1729 Northland Mall,"Columbus, Ohio  43229-6597",(614) 261-7200,,K-6,Open,Academic Emergency,0,10,261,91.8,59.1
000556,A+ Arts Academy,000556,A+ Arts Academy,,1555 Elaine Rd,"Columbus, Ohio  43227-2347",(614) 338-0767,,6-8,Open,Academic Watch,1,7,151,92.0,79.4
000557,Columbus Arts & Technology Academy,000557,Columbus Arts & Technology Academy,,2255 Kimberly Pkwy E,"Columbus, Ohio  43232-7210",(614) 577-0900,Dawn R. Linden,K-6,Open,Academic Emergency,0,10,394,92.1,54.3
000558,Columbus Preparatory Academy,000558,Columbus Preparatory Academy,,3330 Chippewa St,"Columbus, Ohio  43204-1653",(614) 275-3600,,K-6,Open,Academic Emergency,1,10,315,94.4,67.8
000559,Orion Academy,000559,Orion Academy,,1798 Queen City Ave,"Cincinnati, Ohio  45214-1427",(513) 251-6000,Dennis J. Mc Neal,K-6,Open,Academic Emergency,0,10,348,88.6,66.1
000560,Apex Academy,000560,Apex Academy,,16005 Terrace Rd,"Cleveland, Ohio  44112-2001",(216) 451-1725,Michael E. Ward,K-6,Open,Academic Watch,2,10,392,93.9,75.8
000562,Amanda-Clearcreek High School,046847,Amanda-Clearcreek,Fairfield,328 E Main St,"Amanda, Ohio  43102-9330",(740) 969-7251,Jon C. Saxton,9-12,Open,Excellent,12,12,507,94.4,100.2
000564,"Virtual Schoolhouse, Inc.",000564,"Virtual Schoolhouse, Inc.",,2490 Lee Blvd Ste 210,"Cleveland, Ohio  44118-1269",(216) 932-2048,,K-12,Open,Academic Emergency,1,24,991,95.2,52.4
000574,"Arts Academy, The",000574,"Arts Academy, The",,4125 Leavitt Rd,"Lorain, Ohio  44053-2341",(440) 960-0470,,K-12,Open,Academic Watch,2,10,204,95.1,78.2
000575,Hope Academy Northwest Campus,000575,Hope Academy Northwest Campus,,1441 W 116th St,"Cleveland, Ohio  44102-2301",(216) 226-6800,Edna T. West,K-12,Open,Academic Watch,1,14,321,92.1,70
000576,King Academy Community School,000576,King Academy Community School,,933 Bank St,"Cincinnati, Ohio  45214-2103",(513) 421-7519,,K-8,Open,Academic Watch,2,10,155,93.1,73.7
000577,Emerson Academy of Dayton,000577,Emerson Academy of Dayton,,501 Hickory St,"Dayton, Ohio  45410-1232",(937) 223-2889,Barbara G. Wagner,K-6,Open,Academic Watch,0,10,272,92.8,72
000585,FCI Academy,000585,FCI Academy,,2177 Mock Rd,"Columbus, Ohio  43219-1258",(614) 471-4527,,K-12,Open,Academic Emergency,0,17,304,92.9,52.7
000596,Amelia Elementary School,046359,West Clermont,Clermont,5 E Main St,"Amelia, Ohio  45102-1943",(513) 943-3800,Stephanie Walker,K-5,Open,Effective,5,8,565,95.4,96.1
000604,Amelia High School,046359,West Clermont,Clermont,1351 Clough Pike,"Batavia, Ohio  45103-2503",(513) 947-7400,Keith A. Hickman,9-12,Open,Effective,8,12,1351,94.5,96.9
000609,Summit Academy Middle School - Lorain,000609,Summit Academy Middle School - Lorain,,1949 Broadway,"Lorain, Ohio  44052-3626",(440) 245-2593,,"5-9,UNG",Open,Academic Emergency,0,7,58,90.4,56.4
000610,Summit Academy Middle School - Columbus,000610,Summit Academy Middle School - Columbus,,1855 E Dublin Granville Rd,"Columbus, Ohio  43229-3516",(614) 880-0714,,"5-9,UNG",Open,Continuous Improvement,0,3,28,90.0,65.9
000612,Amelia Middle School,046359,West Clermont,Clermont,1341 Clough Pike,"Batavia, Ohio  45103-2503",(513) 947-7500,David L. Mack,6-8,Open,Excellent,7,7,1006,94.4,96.7
000613,Heir Force Community School,000613,Heir Force Community School,,PO Box 180,"Lima, Ohio  45802-0180",(419) 228-9241,Judith E. Steiner,K-8,Open,Academic Watch,2,14,224,95.4,78.2
000615,Summit Academy Middle School - Cincinnati,000615,Summit Academy Middle School - Cincinnati,,3066 Madison Rd,"Cincinnati, Ohio  45209-1723",(513) 321-0561,,"5-9,UNG",Closed,Academic Watch,2,5,49,91.9,74.7
000616,Summit Academy Middle School - Warren,000616,Summit Academy Middle School - Warren,,2106 Arbor Ave SE,"Warren, Ohio  44484-5225",(330) 369-4233,,"5-9,UNG",Open,Effective,4,5,47,96.5,90
000620,Amesville Elementary School,045914,Federal Hocking,Athens,PO Box 189,"Amesville, Ohio  45711-0189",(740) 448-2501,Kimberly A. Chadwell,K-5,Open,Continuous Improvement,2,8,290,95.8,86.2
000623,Summit Academy Middle School - Youngstown,000623,Summit Academy Middle School - Youngstown,,1400 Oak Hill Ave,"Youngstown, Ohio  44507-1018",(330) 747-0950,,"5-9,UNG",Open,Continuous Improvement,2,7,83,95.0,64.8
000629,Summit Academy Community School - Painesville,000629,Summit Academy Community School - Painesville,,301 E Erie St,"Painesville, Ohio  44077-3913",(440) 358-0877,,"1-8,UNG",Open,Excellent,1,1,39,95.6,65.6
000633,Summit Academy Secondary School - Toledo,000633,Summit Academy Secondary School - Toledo,,3891 Martha Ave,"Toledo, Ohio  43612-1250",(419) 476-7859,,"7-12,UNG",Open,Academic Watch,1,3,65,97.9,63.7
000634,Summit Academy Secondary School - Middletown,000634,Summit Academy Secondary School - Middletown,,7 S Marshall Rd,"Middletown, Ohio  45044-5375",(513) 420-9767,,"7-12,UNG",Open,Continuous Improvement,1,3,40,94.7,68
000635,Summit Academy Secondary School - Dayton,000635,Summit Academy Secondary School - Dayton,,1407 E 3rd St,"Dayton, Ohio  45403-1818",(937) 223-3154,,"7-12,UNG",Closed,Continuous Improvement,0,3,27,89.3,62
000638,Amherst Elementary School,049858,Jackson,Stark,8750 Jane St NW,"Massillon, Ohio  44646-1626",(330) 830-8024,Elaine A. Ferguson,"K,1-5,SN",Open,Excellent,8,8,584,96.7,105.7
000640,Rittman Academy,045591,Rittman,Wayne,220 N 1st St,"Rittman, Ohio  44270-1464",(330) 927-7401,Brett C. Lanz,,Open,Excellent,1,1,32,97.9,60.3
000653,Amity Elementary School,043851,Deer Park Community,Hamilton,4320 E Galbraith Rd,"Cincinnati, Ohio  45236-2618",(513) 891-5995,Deborah R. Farley,4-6,Open,Excellent,8,8,329,96.9,100.6
000654,"Aspire Academy, The",049833,Canton Local School District,Stark,4526 Ridge Ave SE,"Canton, Ohio  44707-1118",(330) 484-8010,,6-8,Open,Excellent,5,5,47,96.5,108.7
000663,Arlington Heights Academy,044230,Lockland,Hamilton,607 Carthage Ave,"Cincinnati, Ohio  45215-5464",(513) 563-5000,Barbara M. Greiwe,4-12,Open,NC,0,1,56,91.9,73.2
000664,Life Skills Center of Metro Cleveland,000664,Life Skills Center of Metro Cleveland,,3222 Carnegie Ave,"Cleveland, Ohio  44115-2635",(216) 431-4938,Freda M. Bogen,9-12,Open,Academic Emergency,0,7,181,53.6,58.6
000676,Frank Jacinto Elementary,044263,Lorain,Lorain,2515 Marshall Ave,"Lorain, Ohio  44052-4337",,Michelle L. Spotts,K-6,Open,Academic Watch,1,7,402,93.9,78.3
000677,New Day Academy Boarding & Day School,000677,New Day Academy Boarding & Day School,,12610 Taft Ave,"Cleveland, Ohio  44108-1632",(216) 451-0619,,K-12,Open,Academic Emergency,0,5,50,90.4,56.6
000678,Bulldog Center,045609,Rossford,Wood,719 Dixie Hwy,"Rossford, Ohio  43460-1250",(419) 666-2010,Hollace R. Schmidbauer,"K,P",Open,NC,1,1,26,93.9,
000679,Oakstone Community School,000679,Oakstone Community School,,5747 Cleveland Ave,"Columbus, Ohio  43231-2831",(614) 865-9643,Susan J. Bone,K-12,Open,Excellent,1,1,71,94.2,84.3
000680,"Urban Youth Academy, Inc.",000680,"Urban Youth Academy, Inc.",,1408 Clifton Ave,"Springfield, Ohio  45505-3728",(937) 360-5169,,7-12,Open,Academic Emergency,0,2,139,85.2,51.5
000687,Anderson High School,047340,Forest Hills,Hamilton,7560 Forest Rd,"Cincinnati, Ohio  45255-4307",(513) 232-2772,Diana L. Carter,9-12,Open,Excellent,12,12,1453,95.5,108.5
000699,Arcadia Middle School,047415,Arcadia,Hancock,19033 State Route 12,"Arcadia, Ohio  44804-9714",(419) 894-6431,Cathy J. Romick,7-8,Open,Excellent,5,5,99,96.0,95.8
000700,New City School,000700,New City School,,1516 Salem Ave,"Dayton, Ohio  45406-4943",(937) 277-7155,,1-12,Open,Academic Emergency,0,4,74,91.8,42.2
000701,Avon Heritage South Elementary School,048116,Avon,Lorain,35575 Detroit Rd,"Avon, Ohio  44011-1639",(440) 937-3055,Michelle L. Kocar,3-4,Open,Excellent,6,6,474,100.0,103.7
000711,Pymatuning Valley Primary Elementary School,045880,Pymatuning Valley,Ashtabula,PO Box 1180,"Andover, Ohio  44003-1180",(440) 293-6206,Erin M. Pierce,K-4,Open,Effective,3,6,473,95.2,92.6
000725,Zenith Academy,000725,Zenith Academy,,8210 Havens Rd,"Blacklick, Ohio  43004-8630",(614) 419-6753,,K-9,Open,Academic Emergency,0,14,188,91.2,61.5
000729,Andrew J Rickoff Elementary School,043786,Cleveland Municipal,Cuyahoga,3500 E 147th St,"Cleveland, Ohio  44120-4834",(216) 295-3500,Shalom L. Norton,K-8,Open,Academic Emergency,0,14,509,89.1,61.9
000736,Phoenix Village Academy Primary 2,000736,Phoenix Village Academy Primary 2,,1881 E 71st St,"Cleveland, Ohio  44103-4005",(216) 426-8601,,K-12,Open,NC,0,1,12,91.8,30
000737,Massillon Middle School,044354,Massillon,Stark,250 29th St NW,"Massillon, Ohio  44647-5910",(330) 830-3902,Diane L. Lukac,5-8,Open,Continuous Improvement,2,9,1344,94.6,86.1
000743,Pschtecin Public School,000743,Pschtecin Public School,,985 Mediterranean Ave,"Columbus, Ohio  43229-2541",(614) 985-3428,,8-12,Open,NC,0,1,34,84.4,40
000745,Anna Elementary School,049759,Anna,Shelby,PO Box 169,"Anna, Ohio  45302-0169",(937) 394-2011,Jeffrey M. Patrick,K-5,Open,Excellent,8,8,489,97.3,102
000752,Anna High School,049759,Anna,Shelby,PO Box 169,"Anna, Ohio  45302-0169",(937) 394-2011,Andrew A. Bixler,6-12,Open,Excellent,18,18,672,96.9,104.9
000760,Ansonia Elementary School,046623,Ansonia,Darke,PO Box 279,"Ansonia, Ohio  45303-0279",(937) 337-5141,Marla S. Threewits,K-4,Open,Effective,6,10,380,95.9,92.2
000775,Weems School,000775,Weems School,,2280 Professor Ave,"Cleveland, Ohio  44113-4467",(216) 771-6799,,K-8,Open,Excellent,1,1,126,100.0,46.7
000778,Ansonia High School,046623,Ansonia,Darke,PO Box 279,"Ansonia, Ohio  45303-0279",(937) 337-5591,Stephen A. Garman,9-12,Open,Excellent,12,12,240,95.0,101.9
000781,Cincinnati Speech & Reading Intervention Center,000781,Cincinnati Speech & Reading Intervention Center,,1812 Central Pkwy,"Cincinnati, Ohio  45214-2304",(513) 651-9624,,1-12,Open,Academic Watch,2,12,352,98.4,70.7
000782,Veritas/Cesar Chavez Academy,000782,Veritas/Cesar Chavez Academy,,1812 Central Pkwy,"Cincinnati, Ohio  45214-2304",(513) 651-9624,,K-12,Open,NC,1,1,35,99.8,104.6
000784,Academy of Columbus,000784,Academy of Columbus,,4656 Heaton Rd,"Columbus, Ohio  43229-6612",(614) 433-7510,,K-8,Open,Academic Emergency,0,8,82,92.6,64.6
000786,Anthony Wayne Elementary School,043869,Defiance,Defiance,1745 S Clinton St,"Defiance, Ohio  43512-3219",(419) 782-9909,Nancy S. Mills,K-4,Open,Effective,5,6,248,96.0,95.2
000802,Anthony Wayne Elementary School,044008,Franklin,Warren,16 Farm Ave,"Franklin, Ohio  45005-2721",(937) 743-8640,Gary Vance,K-5,Open,Effective,7,8,218,94.5,95.4
000804,Horizon Science Academy-Cincinnati,000804,Horizon Science Academy-Cincinnati,,1055 Laidlaw Ave,"Cincinnati, Ohio  45237-5005",(513) 242-0099,,K-12,Open,Academic Emergency,1,9,123,94.7,59.6
000808,Horizon Science Academy-Dayton,000808,Horizon Science Academy-Dayton,,545 Odlin Ave,"Dayton, Ohio  45405-2743",(937) 277-1177,,K-12,Open,Academic Emergency,2,9,89,93.1,55.5
000810,Anthony Wayne High School,048207,Anthony Wayne,Lucas,5967 Finzel Rd,"Whitehouse, Ohio  43571-9661",(419) 877-0466,James M. Conner,9-12,Open,Excellent,12,12,1197,95.5,105.3
000813,Life Skills Center of Dayton,000813,Life Skills Center of Dayton,,1721 N Main St,"Dayton, Ohio  45405-4143",(937) 274-2841,James Brown,9-12,Open,Academic Emergency,0,7,361,44.8,47.8
000825,Horizon Science Academy-Springfield,000825,Horizon Science Academy-Springfield,,630 S Reynolds Rd,"Toledo, Ohio  43615-6314",(419) 535-0524,,5-8,Open,Academic Watch,2,9,149,93.9,76.2
000828,Anton Grdina Elementary School,043786,Cleveland Municipal,Cuyahoga,3050 E 77th St,"Cleveland, Ohio  44104-4139",(216) 641-7477,Stacy L. Lambert,K-8,Open,Academic Emergency,0,14,624,88.6,64.4
000831,National Road,045179,Zanesville,Muskingum,3505 East Pike,"Zanesville, Ohio  43701-6617",(740) 450-1538,Linda T. Phillips,K-5,Open,Continuous Improvement,1,8,460,94.0,85.6
000836,Antwerp Local Elementary School,048991,Antwerp,Paulding,303 S. Harrmann Rd,"Antwerp, Ohio  45813",(419) 258-5421,Raymond R. Etzler,K-5,Open,Excellent,10,10,329,96.4,101.5
000838,Horizon Science Academy-Denison Middle School,000838,Horizon Science Academy-Denison Middle School,,1700 Denison Ave,"Cleveland, Ohio  44109-2925",(216) 739-9911,,5-8,Open,Academic Watch,1,9,263,94.2,72.1
000840,General Johnnie Wilson Middle School,044263,Lorain,Lorain,2700 Washington Ave,"Lorain, Ohio  44052-4648",,Christine Pankey,6-8,Open,Academic Watch,0,7,527,91.7,75.3
000841,Longfellow Middle School,044263,Lorain,Lorain,305 Louisiana Ave,"Lorain, Ohio  44052-2256",,Alexis A. Hayden,7-8,Open,Academic Watch,0,5,438,90.5,73.8
000843,Bennett Venture Academy,000843,Bennett Venture Academy,,5130 Bennett Road,"Toledo, Ohio  43612",(419) 269-2247,Judith M. Pesa,K-5,Open,Academic Watch,1,8,291,93.9,78.9
000844,Antwerp Local High School,048991,Antwerp,Paulding,303 S. Harrmann Rd,"Antwerp, Ohio  45813",(419) 258-5421,Stephen E. Arnold,7-12,Open,Excellent,16,16,360,95.7,104.4
000851,Apple Creek Elementary School,050583,Southeast,Wayne,173 W Main St,"Apple Creek, Ohio  44606-9532",(330) 698-3111,Linda L. Musyt,K-6,Open,Effective,8,10,438,96.0,97.9
000858,Horizon Science Academy-Cleveland Middle School,000858,Horizon Science Academy-Cleveland Middle School,,6000 S Marginal Rd,"Cleveland, Ohio  44103-1042",(216) 432-9940,,5-8,Open,Continuous Improvement,3,5,113,95.0,91.7
000859,Canton Arts Academy,000859,Canton Arts Academy,Stark,1120 15th St NW,"Canton, Ohio  44703-3015",(330) 454-2254,,K-8,Open,Continuous Improvement,3,10,79,95.9,82.9
000866,Southside Upper Elementary,045161,Youngstown,Mahoning,767 Mabel St,"Youngstown, Ohio  44502-2227",(330) 744-7656,Mary A. Schulay,5-6,Open,Academic Emergency,1,5,197,93.8,65.9
000870,Grand Valley Elementary School,045864,Grand Valley Local,Ashtabula,111 Grand Valley Ave West,"Orwell, Ohio  44076-9420",(440) 437-6260,Ellen J. Winer,K-4,Open,Excellent,6,6,474,94.5,102.8
000877,Applewood Elementary School,043661,Brunswick,Medina,3891 Applewood Dr,"Brunswick, Ohio  44212-4049",(330) 273-0481,Miklos J. Kis,K-5,Open,Excellent,8,8,371,96.1,102.6
000878,Slate Ridge Elementary School,047001,Reynoldsburg,Franklin,10466 Taylor Rd SW,"Reynoldsburg, Ohio  43068-3249",(614) 501-5500,Karen Hand,K-4,Open,Excellent,6,6,424,95.8,99.6
000879,Waggoner Road Middle School,047001,Reynoldsburg,Franklin,340 Waggoner Rd,"Reynoldsburg, Ohio  43068-9707",(614) 501-5600,Georgia F. Banks,5-6,Open,Effective,4,5,531,96.2,98.2
000883,Canaan Middle School,048264,Jonathan Alder,Madison,7055 US Highway 42 S,"Plain, Ohio  43064-8853",(614) 873-2521,Bobby L. Moore,5-6,Open,Excellent,5,5,308,95.9,100.3
000884,Charity Adams Earley Academy for Girls,043844,Dayton,Montgomery,450 Shoup Mill Rd,"Dayton, Ohio  45415-3518",,Shirlette C. Burkes,K-2,Open,NC,1,1,85,95.7,
000885,Arcadia Elementary School,047415,Arcadia,Hancock,19033 State Route 12,"Arcadia, Ohio  44804-9714",(419) 894-6431,Vacant Position,K-6,Open,Excellent,10,10,315,96.9,101.7
000892,Glen Oak Elementary School,046763,Olentangy,Delaware,7300 Blue Holly Dr,"Lewis Center, Ohio  43035-7145",(740) 657-5500,Susan L. Staum,K-5,Open,Excellent,8,8,566,96.4,97.9
000893,Arcadia High School,047415,Arcadia,Hancock,19033 State Route 12,"Arcadia, Ohio  44804-9714",(419) 894-6431,Cathy J. Romick,9-12,Open,Excellent,12,12,222,93.3,104.9
000901,Arcanum Elementary School,046631,Arcanum Butler,Darke,310 N Main St,"Arcanum, Ohio  45304-1226",(937) 692-5176,Thomas E. Sarver,K-5,Open,Effective,6,8,448,96.1,93.2
000902,Cardington Intermediate School,048793,Cardington-Lincoln,Morrow,3700 County Road 168,"Cardington, Ohio  43315-9397",(419) 864-3152,Rick W. Smith,4-6,Open,Continuous Improvement,5,8,290,96.1,89.3
000905,Interactive Media & Construction (IMAC),000905,Interactive Media & Construction (IMAC),,75 N Walnut St,"Mansfield, Ohio  44902-1211",(419) 525-6409,,9-12,Open,Academic Emergency,0,1,69,77.7,58.5
